,Unnamed: 0,Unnamed: 0.1,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,time_diff,isWillingToWalk,numberOfPassengers
67,67,1393173,1,2016-06-10 08:24:14,2016-06-10 09:49:03,1,27841.582,-73.7897109985352,40.6466827392578,2,N,-73.98272705078121,40.7562141418457,1,52.0,0.0,0.5,2.0,5.54,0.3,60.34,84.8166666666667,0,3
68,68,1393198,2,2016-06-10 08:20:09,2016-06-10 09:29:52,1,33281.1512,-73.7767868041992,40.6453285217285,2,N,-73.9701690673828,40.799533843994105,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,69.7166666666667,1,3
69,69,1393339,1,2016-06-10 08:17:37,2016-06-10 09:29:34,1,29289.988,-73.78192138671879,40.644615173339794,2,N,-73.99143981933591,40.7309150695801,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99,71.95,1,2
70,70,1393853,2,2016-06-10 08:26:45,2016-06-10 09:38:03,1,33522.5522,-73.78932189941409,40.647029876709,2,N,-73.98297119140621,40.782039642334,1,52.0,0.0,0.5,5.5,5.54,0.3,63.84,71.3,0,3
71,71,1394146,1,2016-06-10 08:24:36,2016-06-10 10:00:17,1,30255.592,-73.7819137573242,40.644569396972706,2,N,-74.0003356933594,40.719795227050795,1,52.0,0.0,0.5,14.55,5.54,0.3,72.89,95.6833333333333,1,1
72,72,1394432,1,2016-06-10 08:27:13,2016-06-10 09:44:38,1,29129.054,-73.7821960449219,40.644744873046896,2,N,-73.9862747192383,40.7429542541504,1,52.0,0.0,0.5,14.55,5.54,0.3,72.89,77.4166666666667,0,2
73,73,1394686,2,2016-06-10 08:27:43,2016-06-10 09:56:22,2,30641.8336,-73.7819290161133,40.644870758056605,2,N,-73.9899597167969,40.7698097229004,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,88.65,1,1
74,74,1394846,1,2016-06-10 08:30:46,2016-06-10 10:02:45,2,29450.922,-73.7918472290039,40.645206451416,2,N,-73.9745330810547,40.7604637145996,3,52.0,0.0,0.5,0.0,5.54,0.3,58.34,91.9833333333333,1,1
75,75,1394884,2,2016-06-10 08:21:44,2016-06-10 09:26:10,5,25604.5994,-73.781005859375,40.64503860473629,2,N,-73.97267150878909,40.7474403381348,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92,64.4333333333333,1,1
76,76,1395214,2,2016-06-10 08:31:14,2016-06-10 10:10:27,1,29885.4438,-73.7870101928711,40.6462287902832,2,N,-73.9892272949219,40.767791748046896,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,99.2166666666667,0,3
77,77,1395280,2,2016-06-10 08:25:15,2016-06-10 09:47:30,2,30159.0316,-73.7819061279297,40.6448554992676,2,N,-74.0043029785156,40.74220657348629,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,82.25,1,2
78,78,1395358,2,2016-06-10 08:25:23,2016-06-10 09:53:04,1,29740.6032,-73.776741027832,40.6455307006836,2,N,-73.9964828491211,40.721229553222706,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36,87.6833333333333,0,3
79,79,1395360,2,2016-06-10 08:22:21,2016-06-10 09:53:30,1,27825.4886,-73.7894821166992,40.6468086242676,2,N,-73.98719787597659,40.7591590881348,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,91.15,1,2
80,80,1395489,2,2016-06-10 08:25:30,2016-06-10 09:46:29,1,35180.1724,-73.7897186279297,40.646934509277294,1,N,-73.9280090332031,40.860408782959,1,72.5,0.0,0.5,1.0,5.54,0.3,79.84,80.9833333333333,0,2
81,81,1395955,2,2016-06-10 08:26:22,2016-06-10 09:45:01,1,29096.8672,-73.7812271118164,40.6449317932129,2,N,-73.9949493408203,40.74119186401371,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92,78.65,0,1
82,82,1396085,2,2016-06-10 08:35:42,2016-06-10 10:09:58,1,31881.0254,-73.7856216430664,40.6493682861328,2,N,-73.991569519043,40.750461578369105,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,94.2666666666667,1,3
83,83,1396141,2,2016-06-10 08:38:51,2016-06-10 09:59:19,5,32058.0528,-73.77677154541009,40.6454315185547,2,N,-74.0093002319336,40.7156982421875,1,52.0,0.0,0.5,11.0,5.54,0.3,69.34,80.4666666666667,0,3
84,84,1396143,2,2016-06-10 08:38:51,2016-06-10 10:01:57,1,29418.7352,-73.7818832397461,40.6447296142578,2,N,-73.9813919067383,40.7644081115723,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,83.1,0,3
85,85,1396275,2,2016-06-10 08:38:54,2016-06-10 09:55:08,6,28227.8236,-73.7902297973633,40.6467933654785,2,N,-73.98573303222659,40.758026123046896,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,76.2333333333333,1,3
86,86,1396298,1,2016-06-10 08:38:58,2016-06-10 09:45:27,2,28002.516,-73.7898712158203,40.646797180175795,2,N,-73.9719924926758,40.7563705444336,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,66.4833333333333,0,1
87,87,1396661,2,2016-06-10 08:28:49,2016-06-10 09:56:26,2,27809.3952,-73.781135559082,40.644935607910206,2,N,-73.9735794067383,40.752449035644496,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92,87.6166666666667,0,3
88,88,1396797,1,2016-06-10 08:29:01,2016-06-10 09:46:00,4,33796.14,-73.7900161743164,40.6470718383789,2,N,-73.9818801879883,40.7854881286621,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,76.9833333333333,0,3
89,89,1397460,1,2016-06-10 08:32:13,2016-06-10 09:40:28,2,27519.714,-73.7818603515625,40.6446380615234,2,N,-73.987663269043,40.7415046691895,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,68.25,1,3
90,90,1398003,2,2016-06-10 08:29:44,2016-06-10 09:47:08,1,33924.8872,-73.7769393920898,40.6449699401855,2,N,-73.9761123657227,40.787281036377,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,77.4,1,1
91,91,1398171,2,2016-06-10 08:30:07,2016-06-10 09:38:00,6,43532.647,-73.79466247558591,40.6447715759277,2,N,-74.0154724121094,40.709621429443395,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,67.8833333333333,1,1
92,92,1398180,1,2016-06-10 08:32:38,2016-06-10 09:35:30,1,24944.77,-73.7802200317383,40.6456451416016,2,N,-73.9746017456055,40.7441558837891,1,52.0,0.0,0.5,5.0,5.54,0.3,63.34,62.866666666666696,0,1
93,93,1398290,2,2016-06-10 08:32:51,2016-06-10 09:58:38,1,29531.389,-73.7818222045898,40.64487838745121,2,N,-73.98829650878909,40.759616851806605,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,85.7833333333333,1,3
94,94,1398535,2,2016-06-10 08:36:34,2016-06-10 09:55:57,1,30046.3778,-73.7820510864258,40.6446952819824,2,N,-74.00343322753909,40.7341461181641,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92,79.3833333333333,1,2
95,95,1398578,2,2016-06-10 08:30:24,2016-06-10 09:42:30,1,29209.521,-73.77684020996091,40.645301818847706,2,N,-73.9902572631836,40.746978759765604,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92,72.1,1,1
96,96,1399361,1,2016-06-10 08:33:18,2016-06-10 09:47:48,1,27358.78,-73.781852722168,40.6447525024414,2,N,-73.9756546020508,40.7512168884277,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99,74.5,0,3
97,97,1399709,1,2016-06-10 08:33:53,2016-06-10 09:45:13,1,27358.78,-73.7768173217773,40.6458511352539,2,N,-73.9857940673828,40.7293472290039,1,52.0,0.0,0.5,6.5,0.0,0.3,59.3,71.3333333333333,1,1
98,98,1399718,2,2016-06-10 08:33:54,2016-06-10 09:44:51,1,29595.7626,-73.7813720703125,40.6448402404785,2,N,-73.9733428955078,40.7582893371582,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,70.95,0,1
99,99,1399789,1,2016-06-10 08:34:01,2016-06-10 09:40:10,1,27358.78,-73.789794921875,40.646888732910206,2,N,-73.984016418457,40.73781204223629,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99,66.15,0,2
100,100,1399795,1,2016-06-10 08:34:02,2016-06-10 09:48:28,1,27036.912,-73.78858947753909,40.6472816467285,2,N,-73.9814834594727,40.7496337890625,4,52.0,0.0,0.5,0.0,5.54,0.3,58.34,74.4333333333333,0,1
101,101,1399847,2,2016-06-10 08:34:05,2016-06-10 09:47:49,1,36660.7652,-73.7817306518555,40.6448402404785,2,N,-74.0152206420898,40.709865570068395,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,73.7333333333333,0,2
102,102,1400917,2,2016-06-10 08:37:42,2016-06-10 09:45:50,1,34278.942,-73.776741027832,40.6453895568848,2,N,-74.015739440918,40.7108306884766,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,68.1333333333333,0,3
103,103,1402481,1,2016-06-10 08:38:18,2016-06-10 09:37:38,1,32991.47,-73.7897491455078,40.6469841003418,2,N,-73.9736557006836,40.7925033569336,1,52.0,0.0,0.5,8.0,5.54,0.3,66.34,59.3333333333333,0,2
104,104,1402886,2,2016-06-10 08:38:47,2016-06-10 10:01:14,6,30271.6854,-73.78228759765621,40.6446113586426,2,N,-73.9815673828125,40.7637596130371,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,82.45,1,3
105,105,1409361,1,2016-06-10 08:39:08,2016-06-10 09:48:56,3,35405.48,-73.778076171875,40.646785736084,2,N,-74.0153350830078,40.7089424133301,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,69.8,0,3
106,106,1409465,1,2016-06-10 08:39:12,2016-06-10 09:49:27,1,28002.516,-73.7819747924805,40.6446304321289,2,N,-73.9856872558594,40.7433471679688,1,52.0,0.0,0.5,14.55,5.54,0.3,72.89,70.25,0,1
107,107,1409979,2,2016-06-10 08:39:35,2016-06-10 09:51:12,5,35630.7876,-73.7836227416992,40.6464614868164,2,N,-73.9809265136719,40.759548187255895,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,71.6166666666667,0,3
108,108,1410820,1,2016-06-10 08:43:01,2016-06-10 09:58:34,1,29129.054,-73.7818222045898,40.6447143554688,2,Y,-73.98289489746091,40.764854431152294,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,75.55,0,3
109,109,1410894,2,2016-06-10 08:43:07,2016-06-10 10:02:10,1,29853.257,-73.7766494750977,40.6453094482422,2,N,-73.98477935791009,40.7608985900879,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92,79.05,0,1
