,destID,destLat,destLong,timeFromSrc,distFromSrc
124,DEST125,40.87261405,-73.9255055,1675.271,36820.367
125,DEST126,40.87195688,-73.92376476,1746.117,35355.087999999996
126,DEST127,40.87129971,-73.92202403,1748.357,35435.295
127,DEST128,40.87064255,-73.9202833,1752.159,35496.551
128,DEST129,40.86998538,-73.91854256,1805.521,36046.958
129,DEST130,40.86932821,-73.91680183,1745.242,35468.477
130,DEST131,40.86867105,-73.91506109999999,1738.411,35297.175
131,DEST132,40.86801388,-73.91332036,1756.088,35597.328
132,DEST133,40.86735671,-73.91157963,1761.99,35692.428
133,DEST134,40.86669955,-73.90983890000001,1911.912,35241.205
134,DEST135,40.86604238,-73.90809816,1737.871,35200.34
135,DEST136,40.86538521,-73.90635743,1790.5,35326.615
136,DEST137,40.86472805,-73.9046167,1917.098,34167.302
137,DEST138,40.86407088,-73.90287596,1793.257,33362.466
138,DEST139,40.86341371,-73.90113523,1714.209,32994.425
139,DEST140,40.86275655,-73.8993945,1710.401,32897.448
140,DEST141,40.86209938,-73.89765376,1675.67,32651.828999999998
141,DEST142,40.86144221,-73.89591303,1681.473,32592.356
142,DEST143,40.86078505,-73.8941723,1680.558,32371.932999999997
143,DEST144,40.86012788,-73.89243156,1669.211,32028.907000000003
144,DEST145,40.85947071,-73.89069083,1648.659,31984.845
145,DEST146,40.85881355,-73.88895009999999,1639.815,31823.311
146,DEST147,40.85815638,-73.88720936,1625.113,31666.943
147,DEST148,40.85749921,-73.88546863,1587.1,31497.986
148,DEST149,40.85684205,-73.88372790000001,1615.2,31503.583
149,DEST150,40.85618488,-73.88198716,1568.374,31285.415
150,DEST151,40.87370214,-73.93348879,1735.994,37918.773
151,DEST152,40.87304498,-73.93174805,1736.173,37924.453
152,DEST153,40.87238781,-73.93000732,1736.353,37930.135
153,DEST154,40.87173064,-73.92826659,1668.792,36615.187999999995
154,DEST155,40.87107348,-73.92652585,1668.717,36612.828
155,DEST156,40.87041631,-73.92478512,1749.708,35344.427
156,DEST157,40.86975914,-73.92304439,1746.117,35355.087999999996
157,DEST158,40.86910198,-73.92130365,1744.786,35374.631
158,DEST159,40.86844481,-73.91956292,1733.925,35210.691
159,DEST160,40.86778764,-73.91782219,1749.379,35384.75
160,DEST161,40.86713048,-73.91608145,1728.765,35104.222
161,DEST162,40.86647331,-73.91434072,1729.203,35112.974
162,DEST163,40.86581614,-73.91259999,1858.188,35091.973
163,DEST164,40.86515898,-73.91085925,1851.198,35072.555
164,DEST165,40.86450181,-73.90911852,1714.264,35005.37
165,DEST166,40.86384464,-73.90737779,1890.312,34048.252
166,DEST167,40.86318748,-73.90563705,1752.968,33325.241
167,DEST168,40.86253031,-73.90389632,1734.775,33177.244
168,DEST169,40.86187314,-73.90215559,1703.753,33394.742
169,DEST170,40.86121598,-73.90041485,1702.763,32488.129
170,DEST171,40.86055881,-73.89867412,1697.169,32842.932
171,DEST172,40.85990164,-73.89693339,1678.547,32081.999
172,DEST173,40.85924448,-73.89519265,1670.517,32197.554
173,DEST174,40.85858731,-73.89345192,1649.681,32090.207000000002
174,DEST175,40.85793014,-73.89171119,1622.832,31708.249
175,DEST176,40.85727298,-73.88997045,1632.165,31622.853
176,DEST177,40.85661581,-73.88822972,1651.171,31644.349
177,DEST178,40.85595864,-73.88648899,1664.795,31969.188
178,DEST179,40.85530148,-73.88474825,1650.08,31841.612
179,DEST180,40.85464431,-73.88300752,1592.878,31476.005
180,DEST181,40.87216157,-73.93450914,1741.373,38089.123
181,DEST182,40.8715044,-73.93276841,1741.837,38103.814
182,DEST183,40.87084724,-73.93102768,1742.297,38118.393
183,DEST184,40.87019007,-73.92928694,1662.755,36424.012
184,DEST185,40.869532899999996,-73.92754621,1774.744,35539.152
185,DEST186,40.86887574,-73.92580548,1767.107,35479.752
186,DEST187,40.86821857,-73.92406474,1734.729,35186.034
187,DEST188,40.8675614,-73.92232401,1728.841,35116.287000000004
188,DEST189,40.86690424,-73.92058328,1724.941,35034.696
189,DEST190,40.86624707,-73.91884254,1721.357,34982.421
190,DEST191,40.865589899999996,-73.91710181,1711.891,34911.209
191,DEST192,40.86493274,-73.91536108,1721.324,35012.198
192,DEST193,40.86427557,-73.91362034,1762.846,34827.133
193,DEST194,40.8636184,-73.91187961,1779.757,34874.109
194,DEST195,40.86296124,-73.91013888,1704.641,34791.67
195,DEST196,40.86230407,-73.90839814,1811.511,33718.657
196,DEST197,40.8616469,-73.90665741,1748.17,35169.412000000004
197,DEST198,40.86098974,-73.90491668,1746.879,33457.723
198,DEST199,40.86033257,-73.90317594,1682.235,33203.472
199,DEST200,40.85967539999999,-73.90143521,1696.051,32296.482999999997
200,DEST201,40.85901824,-73.89969448,1676.968,32373.487
201,DEST202,40.85836107,-73.89795374,1654.221,31892.797000000002
202,DEST203,40.8577039,-73.89621301,1685.992,32111.22
203,DEST204,40.85704674,-73.89447228,1683.236,32017.408
204,DEST205,40.85638957,-73.89273154,1631.946,31621.877
205,DEST206,40.855732399999994,-73.89099081,1594.973,31457.552000000003
206,DEST207,40.85507524,-73.88925008,1608.379,31454.156000000003
207,DEST208,40.85441807,-73.88750934,1642.876,31652.763
208,DEST209,40.8537609,-73.88576861,1640.339,31794.416
209,DEST210,40.85310374,-73.88402788,1617.388,31666.647
210,DEST211,40.870621,-73.9355295,1694.695,36542.852999999996
211,DEST212,40.86996383,-73.93378877,1694.695,36542.852999999996
212,DEST213,40.86930667,-73.93204803,1694.695,36542.852999999996
213,DEST214,40.8686495,-73.9303073,1681.6,36404.215
214,DEST215,40.86799233,-73.92856657,1737.321,36929.183
215,DEST216,40.86733517,-73.92682583,1712.618,36722.03
216,DEST217,40.866678,-73.92508509999999,1734.398,35089.94
217,DEST218,40.86602083,-73.92334437,1726.25,34978.668
218,DEST219,40.86536367,-73.92160363,1706.293,34827.698
219,DEST220,40.8647065,-73.91986290000001,1702.655,34822.974
220,DEST221,40.86404933,-73.91812217,1699.213,34798.49
221,DEST222,40.86339217,-73.91638143,1695.539,34864.48
222,DEST223,40.862735,-73.9146407,1678.583,34701.066
223,DEST224,40.86207783,-73.91289997,1834.43,38055.933
224,DEST225,40.86142067,-73.91115923,1680.394,34658.718
225,DEST226,40.860763500000004,-73.9094185,1768.494,33527.472
226,DEST227,40.86010633,-73.90767777,1712.317,33422.587999999996
227,DEST228,40.85944917,-73.90593703,1740.373,33428.807
228,DEST229,40.858792,-73.9041963,1667.261,33024.524
229,DEST230,40.85813483,-73.90245557,1666.015,32162.987
230,DEST231,40.85747767,-73.90071483,1629.214,31999.417999999998
231,DEST232,40.856820500000005,-73.89897409999999,1640.649,32050.243
232,DEST233,40.85616333,-73.89723337,1657.591,31834.81
233,DEST234,40.85550617,-73.89549263,1640.084,31872.688
234,DEST235,40.854849,-73.89375190000001,1634.849,31534.439
235,DEST236,40.85419183,-73.89201117,1601.238,31385.056
236,DEST237,40.85353467,-73.89027043,1621.964,31389.406000000003
237,DEST238,40.852877500000005,-73.8885297,1663.334,31767.65
238,DEST239,40.85222033,-73.88678897,1684.572,30481.515
239,DEST240,40.85156317,-73.88504823,1624.612,31612.097
240,DEST241,40.86908043,-73.93654986,1694.695,36542.852999999996
241,DEST242,40.86842326,-73.93480912,1754.509,38505.095
242,DEST243,40.867766100000004,-73.93306839,1754.586,38507.536
243,DEST244,40.86710893,-73.93132766,1661.414,36216.397000000004
244,DEST245,40.86645176,-73.92958692,1694.924,36552.332
245,DEST246,40.8657946,-73.92784619,1715.655,34897.346
246,DEST247,40.86513743,-73.92610546,1703.414,34786.567
247,DEST248,40.86448026,-73.92436472,1700.289,34768.659
248,DEST249,40.863823100000005,-73.92262399,1699.505,34734.602
249,DEST250,40.86316593,-73.92088326,1674.14,34575.615
250,DEST251,40.86250876,-73.91914252,1692.009,34646.837999999996
251,DEST252,40.8618516,-73.91740179,1706.233,34784.871
252,DEST253,40.86119443,-73.91566106,1674.931,34753.712999999996
253,DEST254,40.86053726,-73.91392032,1641.682,34286.346
254,DEST255,40.859880100000005,-73.91217959,1821.77,33605.621
255,DEST256,40.85922293,-73.91043886,1724.46,33331.757000000005
256,DEST257,40.85856576,-73.90869812,1687.862,33232.37
257,DEST258,40.8579086,-73.90695739,1687.305,33034.3
258,DEST259,40.85725143,-73.90521666,1650.467,32870.57
259,DEST260,40.85659426,-73.90347592,1669.917,32973.094
260,DEST261,40.855937100000006,-73.90173519,1683.209,32239.404
261,DEST262,40.85527993,-73.89999446,1654.757,31894.11
262,DEST263,40.85462276,-73.89825372,1636.547,31669.12
263,DEST264,40.8539656,-73.89651299,1581.298,31465.447
264,DEST265,40.85330843,-73.89477226,1677.455,31602.66
265,DEST266,40.85265126,-73.89303152,1643.939,31574.837000000003
266,DEST267,40.8519941,-73.89129079,1576.56,31063.968999999997
267,DEST268,40.85133693,-73.88955006,1636.836,31331.875
268,DEST269,40.85067976,-73.88780932,1631.808,31565.539
269,DEST270,40.8500226,-73.88606859,1630.595,30081.396
270,DEST271,40.86753986,-73.93757021,1668.54,36390.023
271,DEST272,40.86688269,-73.93582948,1668.824,36397.583
272,DEST273,40.86622552,-73.93408875,1669.345,36411.466
273,DEST274,40.86556836,-73.93234801,1770.121,36093.061
274,DEST275,40.86491119,-73.93060728,1714.763,35904.814
275,DEST276,40.86425402,-73.92886655,1706.78,36551.607
276,DEST277,40.86359686,-73.92712581,1700.693,34728.872
277,DEST278,40.86293969,-73.92538508,1671.592,34513.564
278,DEST279,40.86228252,-73.92364435,1687.83,34655.446
279,DEST280,40.86162536,-73.92190361,1647.463,34324.896
280,DEST281,40.86096819,-73.92016288,1715.589,34581.904
281,DEST282,40.86031102,-73.91842215,1711.777,34564.96
282,DEST283,40.85965386,-73.91668141,1684.744,34932.77
283,DEST284,40.85899669,-73.91494068,1686.837,34353.967000000004
284,DEST285,40.85833952,-73.91319995,1805.519,34450.714
285,DEST286,40.85768236,-73.91145921,1778.759,33429.309
286,DEST287,40.85702519,-73.90971848,1663.475,33036.684
287,DEST288,40.85636802,-73.90797775,1668.626,32871.01
288,DEST289,40.85571086,-73.90623701,1631.65,32706.667999999998
289,DEST290,40.85505369,-73.90449628,1642.207,31807.676
290,DEST291,40.85439652,-73.90275555,1607.193,31652.049
291,DEST292,40.85373936,-73.90101481,1628.154,31567.761000000002
292,DEST293,40.85308219,-73.89927408,1577.998,31299.935
293,DEST294,40.85242502,-73.89753335,1561.676,31125.891
294,DEST295,40.85176786,-73.89579261,1540.644,30962.29
295,DEST296,40.85111069,-73.89405188,1521.381,30817.102000000003
296,DEST297,40.85045352,-73.89231115,1606.314,31284.867000000002
297,DEST298,40.84979636,-73.89057041,1621.335,31426.806
298,DEST299,40.84913919,-73.88882968,1587.471,31278.02
299,DEST300,40.84848202,-73.88708895,1668.943,30251.834
300,DEST301,40.86599929,-73.93859057,1675.459,36574.53
301,DEST302,40.86534212,-73.93684984,1676.042,36592.376000000004
302,DEST303,40.86468495,-73.93510909999999,1676.408,36603.959
303,DEST304,40.86402779,-73.93336837,1641.907,35684.967000000004
304,DEST305,40.86337062,-73.93162764,1673.809,35722.784
305,DEST306,40.86271345,-73.9298869,1696.847,34880.667
306,DEST307,40.86205629,-73.92814617,1719.806,34770.236000000004
307,DEST308,40.86139912,-73.92640544,1745.42,34967.135
308,DEST309,40.86074195,-73.9246647,1664.962,34454.638999999996
309,DEST310,40.86008479,-73.92292397,1628.298,34133.242999999995
310,DEST311,40.85942762,-73.92118324,1688.398,34395.099
311,DEST312,40.85877045,-73.9194425,1728.876,34507.538
312,DEST313,40.85811329,-73.91770177,1692.953,35106.064
313,DEST314,40.85745612,-73.91596104,1664.002,34150.988
314,DEST315,40.85679895,-73.9142203,1749.604,34295.39
315,DEST316,40.85614179,-73.91247957,1749.806,33268.039
316,DEST317,40.85548462,-73.91073884,1641.832,32844.302
317,DEST318,40.85482745,-73.90899809999999,1661.393,32757.652000000002
318,DEST319,40.85417029,-73.90725737,1595.391,32431.472
319,DEST320,40.85351312,-73.90551664,1602.824,31531.182999999997
320,DEST321,40.85285595,-73.90377590000001,1622.542,31841.748
321,DEST322,40.85219879,-73.90203517,1575.932,31270.447
322,DEST323,40.85154162,-73.90029444,1553.529,31109.622000000003
323,DEST324,40.85088445,-73.89855370000001,1542.967,31082.12
324,DEST325,40.85022729,-73.89681297,1574.499,31099.386000000002
325,DEST326,40.84957012,-73.89507224,1500.425,30630.821
326,DEST327,40.84891295,-73.89333149999999,1569.022,31085.541
327,DEST328,40.84825579,-73.89159077,1545.655,30783.091
328,DEST329,40.84759862,-73.88985004,1577.684,31002.392000000003
329,DEST330,40.84694145,-73.8881093,1588.11,29895.607000000004
330,DEST331,40.86445871,-73.93961093,1683.025,36813.503
331,DEST332,40.86380155,-73.9378702,1682.91,36809.872
332,DEST333,40.86314438,-73.93612946,1682.796,36806.241
333,DEST334,40.86248721,-73.93438873,1631.826,35453.716
334,DEST335,40.86183005,-73.932648,1702.632,34978.01
335,DEST336,40.86117288,-73.93090726,1677.189,34684.064
336,DEST337,40.86051571,-73.92916653,1703.139,34771.84
337,DEST338,40.85985855,-73.9274258,1712.105,34905.337999999996
338,DEST339,40.85920138,-73.92568506,1684.731,34630.367999999995
339,DEST340,40.85854421,-73.92394433,1619.412,34075.566
340,DEST341,40.85788705,-73.9222036,1612.881,33901.377
341,DEST342,40.85722988,-73.92046286,1609.921,33822.45
342,DEST343,40.85657271,-73.91872213,1702.013,35297.341
343,DEST344,40.85591555,-73.9169814,1615.178,33716.983
344,DEST345,40.85525838,-73.91524066,1718.929,33145.242
345,DEST346,40.85460121,-73.91349993,1685.27,32995.64
346,DEST347,40.85394405,-73.9117592,1644.715,32869.922999999995
347,DEST348,40.85328688,-73.91001846,1632.12,32668.276
348,DEST349,40.85262971,-73.90827773,1575.488,32245.075
349,DEST350,40.85197255,-73.906537,1615.978,31529.555
350,DEST351,40.85131538,-73.90479626,1593.727,31488.056
351,DEST352,40.85065821,-73.90305553,1608.834,31494.421000000002
352,DEST353,40.85000105,-73.9013148,1562.346,31127.228
353,DEST354,40.84934388,-73.89957406,1528.306,30892.262000000002
354,DEST355,40.84868671,-73.89783333,1543.815,30792.182999999997
355,DEST356,40.84802955,-73.8960926,1555.59,30853.667999999998
356,DEST357,40.84737238,-73.89435186,1504.637,30550.16
357,DEST358,40.84671521,-73.89261113,1515.075,30647.179
358,DEST359,40.84605805,-73.8908704,1523.507,30825.695
359,DEST360,40.84540088,-73.88912966,1560.078,31003.459
360,DEST361,40.86291814,-73.94063129,1687.662,36960.339
361,DEST362,40.86226098,-73.93889055,1688.068,36973.187999999995
362,DEST363,40.86160381,-73.93714982,1688.473,36986.038
363,DEST364,40.86094664,-73.93540909,1626.001,35269.221
364,DEST365,40.86028948,-73.93366835,1661.885,34730.221
365,DEST366,40.85963231,-73.93192762,1671.443,34543.972
366,DEST367,40.85897514,-73.93018689,1667.796,34560.7
367,DEST368,40.85831798,-73.92844615,1688.235,34719.68
368,DEST369,40.85766081,-73.92670542,1695.226,34320.032999999996
369,DEST370,40.85700364,-73.92496469,1675.683,34050.145
370,DEST371,40.85634648,-73.92322395,1628.614,34320.957
371,DEST372,40.85568931,-73.92148322,1604.678,33682.632000000005
372,DEST373,40.85503214,-73.91974249,1810.964,33384.888
373,DEST374,40.85437498,-73.91800175,1764.488,33288.216
374,DEST375,40.85371781,-73.91626102,1668.354,34057.017
375,DEST376,40.85306064,-73.91452029,1690.433,33150.737
376,DEST377,40.85240348,-73.91277955,1659.17,32655.416
377,DEST378,40.85174631,-73.91103882,1579.01,32285.861
378,DEST379,40.85108914,-73.90929809,1597.801,32308.33
379,DEST380,40.85043198,-73.90755735,1607.333,32222.246
380,DEST381,40.84977481,-73.90581662,1559.683,31197.583
381,DEST382,40.84911764,-73.90407589,1538.349,30995.761000000002
382,DEST383,40.84846048,-73.90233515,1520.063,30833.207000000002
383,DEST384,40.84780331,-73.90059442,1505.169,30700.79
384,DEST385,40.84714614,-73.89885369,1488.71,30526.68
385,DEST386,40.84648898,-73.89711295,1479.457,30407.34
386,DEST387,40.84583181,-73.89537222,1470.891,30368.277000000002
387,DEST388,40.84517464,-73.89363149,1524.897,30712.057999999997
388,DEST389,40.84451748,-73.89189075,1529.428,30871.741
389,DEST390,40.84386031,-73.89015002,1595.323,29652.576
390,DEST391,40.86137757,-73.94165164,1696.409,37237.324
391,DEST392,40.8607204,-73.93991091,1695.829,37218.98
392,DEST393,40.86006324,-73.93817018,1695.25,37200.637
393,DEST394,40.85940607,-73.93642944,1619.146,35052.168
394,DEST395,40.8587489,-73.93468871,1641.5,34555.961
395,DEST396,40.85809174,-73.93294798,1657.841,34386.735
396,DEST397,40.85743457,-73.93120724,1654.962,34345.031
397,DEST398,40.8567774,-73.92946651,1675.367,34224.638
398,DEST399,40.85612024,-73.92772578,1684.923,34151.772000000004
399,DEST400,40.85546307,-73.92598504,1651.908,33838.8
400,DEST401,40.8548059,-73.92424431,1636.403,34528.657999999996
401,DEST402,40.85414874,-73.92250358,1598.72,33523.75
402,DEST403,40.85349157,-73.92076284,1744.829,33207.711
403,DEST404,40.8528344,-73.91902211,1679.672,32837.711
404,DEST405,40.85217724,-73.91728138,1659.071,32643.785
405,DEST406,40.85152007,-73.91554064,1646.185,32501.917999999998
406,DEST407,40.850862899999996,-73.91379991,1642.896,32751.574
407,DEST408,40.85020574,-73.91205918,1615.126,32526.269
408,DEST409,40.84954857,-73.91031844,1604.011,32207.484
409,DEST410,40.8488914,-73.90857771,1606.454,31462.153
410,DEST411,40.84823424,-73.90683698,1584.345,31482.386000000002
411,DEST412,40.84757707,-73.90509624,1591.239,31191.533
412,DEST413,40.846919899999996,-73.90335551,1625.698,31344.693
413,DEST414,40.84626274,-73.90161478,1485.138,30503.792
414,DEST415,40.84560557,-73.89987404,1476.799,30350.153
415,DEST416,40.8449484,-73.89813331,1482.25,30304.86
416,DEST417,40.84429124,-73.89639258,1596.297,31029.394
417,DEST418,40.84363407,-73.89465184,1451.127,30292.061
418,DEST419,40.8429769,-73.89291111,1535.318,30577.456000000002
419,DEST420,40.84231974,-73.89117038,1599.496,30783.388
420,DEST421,40.859837,-73.942672,1701.786,37407.6
421,DEST422,40.85917983,-73.94093127,1701.454,37397.106
422,DEST423,40.85852267,-73.93919053,1701.123,37386.612
423,DEST424,40.8578655,-73.9374498,1613.221,34864.545
424,DEST425,40.85720833,-73.93570907,1630.686,34368.577000000005
425,DEST426,40.85655117,-73.93396833,1639.3,34268.869
426,DEST427,40.855894,-73.93222759999999,1673.343,34099.242999999995
427,DEST428,40.85523683,-73.93048687,1659.276,34070.227999999996
428,DEST429,40.85457967,-73.92874613,1668.256,33996.537000000004
429,DEST430,40.853922499999996,-73.9270054,1676.137,33887.416
430,DEST431,40.85326533,-73.92526467,1643.574,34719.869
431,DEST432,40.85260817,-73.92352393,1591.542,33332.348
432,DEST433,40.851951,-73.92178320000001,1730.135,35891.028
433,DEST434,40.85129383,-73.92004247,1720.005,33031.395
434,DEST435,40.85063667,-73.91830173,1722.303,32899.988
435,DEST436,40.849979499999996,-73.916561,1638.338,32470.241
436,DEST437,40.84932233,-73.91482027,1638.455,32329.808999999997
437,DEST438,40.84866517,-73.91307953,1668.021,32391.766
438,DEST439,40.848008,-73.9113388,1536.195,31748.087000000003
439,DEST440,40.84735083,-73.90959807,1585.265,32026.665
440,DEST441,40.84669367,-73.90785733,1615.296,31815.79
441,DEST442,40.8460365,-73.90611659999999,1636.754,31502.259
442,DEST443,40.84537933,-73.90437587,1589.923,31092.935
443,DEST444,40.84472217,-73.90263513,1488.36,30536.002
444,DEST445,40.844065,-73.9008944,1593.697,30885.798
445,DEST446,40.84340783,-73.89915367,1478.645,30234.732000000004
446,DEST447,40.84275067,-73.89741293,1487.791,30367.118
447,DEST448,40.8420935,-73.8956722,1486.543,30293.634
448,DEST449,40.84143633,-73.89393147,1516.778,30455.35
449,DEST450,40.84077917,-73.89219073,1558.836,30614.942000000003
