,Unnamed: 0,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,time_diff,isWillingToWalk,numberOfPassengers
36622,95857,2016-03-10 14:06:13,2016-03-10 14:49:08,2,29080.7738,-73.77976989746094,40.64704132080078,-73.9859390258789,40.7411994934082,42.91666666666666,0,2
36623,8832056,2016-03-10 14:07:05,2016-03-10 14:58:44,2,28002.516,-73.7766876220703,40.64529418945313,-73.97450256347656,40.756553649902344,51.65,1,1
36624,96039,2016-03-10 14:07:07,2016-03-10 14:54:36,1,28678.4388,-73.78184509277344,40.64477157592773,-73.98412322998048,40.736045837402344,47.48333333333333,1,1
36625,8832115,2016-03-10 14:07:26,2016-03-10 15:00:06,1,30577.46,-73.79029846191406,40.64353942871094,-73.98835754394531,40.73041915893555,52.66666666666666,1,1
36626,8832131,2016-03-10 14:07:32,2016-03-10 14:51:08,2,29289.988,-73.78165435791014,40.64482116699219,-73.99199676513672,40.73457717895508,43.6,0,2
36627,8832193,2016-03-10 14:07:53,2016-03-10 15:20:27,1,28163.45,-73.78187561035155,40.64471054077149,-73.9906005859375,40.75637817382813,72.56666666666666,0,1
36628,8832286,2016-03-10 14:08:24,2016-03-10 15:03:38,1,28807.186,-73.79444122314453,40.64482879638672,-74.00402069091797,40.74224090576172,55.23333333333333,0,2
36629,8832371,2016-03-10 14:08:52,2016-03-10 15:00:13,1,29129.054,-73.78216552734375,40.64440536499024,-73.97284698486328,40.7611198425293,51.35,1,1
36630,8832455,2016-03-10 14:09:23,2016-03-10 14:55:30,3,27680.648,-73.7810287475586,40.64500427246094,-73.98320007324219,40.7452507019043,46.11666666666667,1,1
36631,96396,2016-03-10 14:09:26,2016-03-10 15:12:14,3,30159.031599999995,-73.77664947509766,40.645450592041016,-73.96971893310547,40.76079940795898,62.8,1,1
36632,8832539,2016-03-10 14:09:50,2016-03-10 15:19:40,2,28807.186,-73.78228759765625,40.644622802734375,-73.98869323730467,40.75895690917969,69.83333333333333,1,2
36633,96466,2016-03-10 14:09:50,2016-03-10 15:17:38,1,29209.521,-73.79061126708984,40.6468505859375,-73.9921875,40.764320373535156,67.8,1,1
36634,96516,2016-03-10 14:10:06,2016-03-10 15:14:28,1,28630.1586,-73.78044128417969,40.645320892333984,-73.98213958740234,40.75587844848633,64.36666666666666,1,2
36635,8832613,2016-03-10 14:10:19,2016-03-10 14:58:38,2,26554.11,-73.78077697753906,40.64515686035156,-73.97754669189453,40.74937057495117,48.31666666666667,0,1
36636,8832690,2016-03-10 14:10:48,2016-03-10 15:08:09,1,31382.13,-73.78203582763672,40.644996643066406,-73.9822006225586,40.72246551513672,57.35,0,2
36637,96665,2016-03-10 14:10:54,2016-03-10 15:07:37,1,28871.5596,-73.77672576904298,40.64553833007813,-73.99117279052734,40.7493896484375,56.71666666666667,1,2
36638,96694,2016-03-10 14:11:01,2016-03-10 15:32:20,1,29804.9768,-73.7768020629883,40.6460189819336,-73.98999786376955,40.761619567871094,81.31666666666666,1,2
36639,8832749,2016-03-10 14:11:07,2016-03-10 14:52:40,1,25105.704,-73.79329681396483,40.644844055175774,-73.97055053710938,40.74566650390625,41.55,0,1
36640,96710,2016-03-10 14:11:07,2016-03-10 15:11:52,1,28984.2134,-73.78207397460938,40.64484786987305,-73.97550201416014,40.762611389160156,60.75,0,2
36641,8832773,2016-03-10 14:11:14,2016-03-10 15:00:04,1,27358.78,-73.79550170898438,40.644718170166016,-73.9843521118164,40.75535583496094,48.83333333333334,1,1
36642,8832787,2016-03-10 14:11:18,2016-03-10 14:57:18,2,26554.11,-73.78997039794923,40.64678955078125,-73.98577880859375,40.749961853027344,46.0,0,2
36643,96777,2016-03-10 14:11:29,2016-03-10 15:33:48,1,30899.328,-73.78221130371094,40.6447639465332,-73.98831939697266,40.76575088500977,82.31666666666666,0,2
36644,96832,2016-03-10 14:11:49,2016-03-10 15:08:04,1,30674.0204,-73.78177642822266,40.644779205322266,-74.00765991210938,40.74089813232422,56.25,0,1
36645,8832891,2016-03-10 14:12:00,2016-03-10 15:20:49,2,26715.043999999998,-73.79898834228516,40.645179748535156,-73.98221588134766,40.75579071044922,68.81666666666666,0,2
36646,8832972,2016-03-10 14:12:30,2016-03-10 15:10:26,1,32025.865999999995,-73.78887939453125,40.64290237426758,-73.98767852783203,40.72197723388672,57.93333333333333,0,2
36647,8833037,2016-03-10 14:12:50,2016-03-10 15:03:53,2,32830.535999999986,-73.77682495117188,40.64513778686523,-73.96343994140625,40.77691650390625,51.05,1,2
36648,8833049,2016-03-10 14:12:52,2016-03-10 15:00:31,1,28002.516,-73.78993225097656,40.64703369140625,-73.97148132324219,40.757362365722656,47.65,1,2
36649,97028,2016-03-10 14:13:00,2016-03-10 15:28:49,5,27664.5546,-73.80310821533203,40.648231506347656,-73.98771667480467,40.76153945922852,75.81666666666666,1,1
