DEST153,40.87238781,-73.93000732,1736353,37930.135
DEST154,40.87173064,-73.92826659,1668792,36615.188
DEST155,40.87107348,-73.92652585,1668717,36612.828
DEST156,40.87041631,-73.92478512,1749708,35344.427
DEST157,40.86975914,-73.92304439,1746117,35355.088
DEST158,40.86910198,-73.92130365,1744786,35374.631
DEST159,40.86844481,-73.91956292,1733925,35210.691
DEST160,40.86778764,-73.91782219,1749379,35384.75
DEST161,40.86713048,-73.91608145,1728765,35104.222
DEST162,40.86647331,-73.91434072,1729203,35112.974
DEST163,40.86581614,-73.91259999,1858188,35091.973
DEST164,40.86515898,-73.91085925,1851198,35072.555
DEST165,40.86450181,-73.90911852,1714264,35005.37
DEST166,40.86384464,-73.90737779,1890312,34048.252
DEST167,40.86318748,-73.90563705,1752968,33325.241
DEST168,40.86253031,-73.90389632,1734775,33177.244
DEST169,40.86187314,-73.90215559,1703753,33394.742
DEST170,40.86121598,-73.90041485,1702763,32488.129
DEST171,40.86055881,-73.89867412,1697169,32842.932
DEST172,40.85990164,-73.89693339,1678547,32081.999
DEST173,40.85924448,-73.89519265,1670517,32197.554
DEST174,40.85858731,-73.89345192,1649681,32090.207
DEST175,40.85793014,-73.89171119,1622832,31708.249
DEST176,40.85727298,-73.88997045,1632165,31622.853
DEST177,40.85661581,-73.88822972,1651171,31644.349
DEST178,40.85595864,-73.88648899,1664795,31969.188
DEST179,40.85530148,-73.88474825,1650080,31841.612
DEST180,40.85464431,-73.88300752,1592878,31476.005
DEST181,40.87216157,-73.93450914,1741373,38089.123
DEST182,40.8715044,-73.93276841,1741837,38103.814
DEST183,40.87084724,-73.93102768,1742297,38118.393
DEST184,40.87019007,-73.92928694,1662755,36424.012
DEST185,40.8695329,-73.92754621,1774744,35539.152
DEST186,40.86887574,-73.92580548,1767107,35479.752
DEST187,40.86821857,-73.92406474,1734729,35186.034
DEST188,40.8675614,-73.92232401,1728841,35116.287
DEST189,40.86690424,-73.92058328,1724941,35034.696
DEST190,40.86624707,-73.91884254,1721357,34982.421
DEST191,40.8655899,-73.91710181,1711891,34911.209
DEST192,40.86493274,-73.91536108,1721324,35012.198
DEST193,40.86427557,-73.91362034,1762846,34827.133
DEST194,40.8636184,-73.91187961,1779757,34874.109
DEST195,40.86296124,-73.91013888,1704641,34791.67
DEST196,40.86230407,-73.90839814,1811511,33718.657
DEST197,40.8616469,-73.90665741,1748170,35169.412
DEST198,40.86098974,-73.90491668,1746879,33457.723
DEST199,40.86033257,-73.90317594,1682235,33203.472
DEST200,40.8596754,-73.90143521,1696051,32296.483
DEST201,40.85901824,-73.89969448,1676968,32373.487
DEST202,40.85836107,-73.89795374,1654221,31892.797
DEST203,40.8577039,-73.89621301,1685992,32111.22
DEST204,40.85704674,-73.89447228,1683236,32017.408
DEST205,40.85638957,-73.89273154,1631946,31621.877
DEST206,40.8557324,-73.89099081,1594973,31457.552
DEST207,40.85507524,-73.88925008,1608379,31454.156
DEST208,40.85441807,-73.88750934,1642876,31652.763
DEST209,40.8537609,-73.88576861,1640339,31794.416
DEST210,40.85310374,-73.88402788,1617388,31666.647
DEST211,40.870621,-73.9355295,1694695,36542.853
DEST212,40.86996383,-73.93378877,1694695,36542.853
DEST213,40.86930667,-73.93204803,1694695,36542.853
DEST214,40.8686495,-73.9303073,1681600,36404.215
DEST215,40.86799233,-73.92856657,1737321,36929.183
DEST216,40.86733517,-73.92682583,1712618,36722.03
DEST217,40.866678,-73.9250851,1734398,35089.94
DEST218,40.86602083,-73.92334437,1726250,34978.668
DEST219,40.86536367,-73.92160363,1706293,34827.698
DEST220,40.8647065,-73.9198629,1702655,34822.974
DEST221,40.86404933,-73.91812217,1699213,34798.49
DEST222,40.86339217,-73.91638143,1695539,34864.48
DEST223,40.862735,-73.9146407,1678583,34701.066
DEST224,40.86207783,-73.91289997,1834430,38055.933
DEST225,40.86142067,-73.91115923,1680394,34658.718
DEST226,40.8607635,-73.9094185,1768494,33527.472
DEST227,40.86010633,-73.90767777,1712317,33422.588
DEST228,40.85944917,-73.90593703,1740373,33428.807
DEST229,40.858792,-73.9041963,1667261,33024.524
DEST230,40.85813483,-73.90245557,1666015,32162.987
DEST231,40.85747767,-73.90071483,1629214,31999.418
DEST232,40.8568205,-73.8989741,1640649,32050.243
DEST233,40.85616333,-73.89723337,1657591,31834.81
DEST234,40.85550617,-73.89549263,1640084,31872.688
DEST235,40.854849,-73.8937519,1634849,31534.439
DEST236,40.85419183,-73.89201117,1601238,31385.056
DEST237,40.85353467,-73.89027043,1621964,31389.406
DEST238,40.8528775,-73.8885297,1663334,31767.65
DEST239,40.85222033,-73.88678897,1684572,30481.515
DEST240,40.85156317,-73.88504823,1624612,31612.097
DEST241,40.86908043,-73.93654986,1694695,36542.853
DEST242,40.86842326,-73.93480912,1754509,38505.095
DEST243,40.8677661,-73.93306839,1754586,38507.536
DEST244,40.86710893,-73.93132766,1661414,36216.397
DEST245,40.86645176,-73.92958692,1694924,36552.332
DEST246,40.8657946,-73.92784619,1715655,34897.346
DEST247,40.86513743,-73.92610546,1703414,34786.567
DEST248,40.86448026,-73.92436472,1700289,34768.659
DEST249,40.8638231,-73.92262399,1699505,34734.602
DEST250,40.86316593,-73.92088326,1674140,34575.615
DEST251,40.86250876,-73.91914252,1692009,34646.838
DEST252,40.8618516,-73.91740179,1706233,34784.871
DEST253,40.86119443,-73.91566106,1674931,34753.713
DEST254,40.86053726,-73.91392032,1641682,34286.346
DEST255,40.8598801,-73.91217959,1821770,33605.621
DEST256,40.85922293,-73.91043886,1724460,33331.757
DEST257,40.85856576,-73.90869812,1687862,33232.37
DEST258,40.8579086,-73.90695739,1687305,33034.3
DEST259,40.85725143,-73.90521666,1650467,32870.57
DEST260,40.85659426,-73.90347592,1669917,32973.094
DEST261,40.8559371,-73.90173519,1683209,32239.404
DEST262,40.85527993,-73.89999446,1654757,31894.11
DEST263,40.85462276,-73.89825372,1636547,31669.12
DEST264,40.8539656,-73.89651299,1581298,31465.447
DEST265,40.85330843,-73.89477226,1677455,31602.66
DEST266,40.85265126,-73.89303152,1643939,31574.837
DEST267,40.8519941,-73.89129079,1576560,31063.969
DEST268,40.85133693,-73.88955006,1636836,31331.875
DEST269,40.85067976,-73.88780932,1631808,31565.539
DEST270,40.8500226,-73.88606859,1630595,30081.396
DEST271,40.86753986,-73.93757021,1668540,36390.023
DEST272,40.86688269,-73.93582948,1668824,36397.583
DEST273,40.86622552,-73.93408875,1669345,36411.466
DEST274,40.86556836,-73.93234801,1770121,36093.061
DEST275,40.86491119,-73.93060728,1714763,35904.814
DEST276,40.86425402,-73.92886655,1706780,36551.607
DEST277,40.86359686,-73.92712581,1700693,34728.872
DEST278,40.86293969,-73.92538508,1671592,34513.564
DEST279,40.86228252,-73.92364435,1687830,34655.446
DEST280,40.86162536,-73.92190361,1647463,34324.896
DEST281,40.86096819,-73.92016288,1715589,34581.904
DEST282,40.86031102,-73.91842215,1711777,34564.96
DEST283,40.85965386,-73.91668141,1684744,34932.77
DEST284,40.85899669,-73.91494068,1686837,34353.967
DEST285,40.85833952,-73.91319995,1805519,34450.714
DEST286,40.85768236,-73.91145921,1778759,33429.309
DEST287,40.85702519,-73.90971848,1663475,33036.684
DEST288,40.85636802,-73.90797775,1668626,32871.01
DEST289,40.85571086,-73.90623701,1631650,32706.668
DEST290,40.85505369,-73.90449628,1642207,31807.676
DEST291,40.85439652,-73.90275555,1607193,31652.049
DEST292,40.85373936,-73.90101481,1628154,31567.761
DEST293,40.85308219,-73.89927408,1577998,31299.935
DEST294,40.85242502,-73.89753335,1561676,31125.891
DEST295,40.85176786,-73.89579261,1540644,30962.29
DEST296,40.85111069,-73.89405188,1521381,30817.102
DEST297,40.85045352,-73.89231115,1606314,31284.867
DEST298,40.84979636,-73.89057041,1621335,31426.806
DEST299,40.84913919,-73.88882968,1587471,31278.02
DEST300,40.84848202,-73.88708895,1668943,30251.834
DEST301,40.86599929,-73.93859057,1675459,36574.53
DEST302,40.86534212,-73.93684984,1676042,36592.376
DEST303,40.86468495,-73.9351091,1676408,36603.959
DEST304,40.86402779,-73.93336837,1641907,35684.967
DEST305,40.86337062,-73.93162764,1673809,35722.784
DEST306,40.86271345,-73.9298869,1696847,34880.667
DEST307,40.86205629,-73.92814617,1719806,34770.236
DEST308,40.86139912,-73.92640544,1745420,34967.135
DEST309,40.86074195,-73.9246647,1664962,34454.639
DEST310,40.86008479,-73.92292397,1628298,34133.243
DEST311,40.85942762,-73.92118324,1688398,34395.099
DEST312,40.85877045,-73.9194425,1728876,34507.538
DEST313,40.85811329,-73.91770177,1692953,35106.064
DEST314,40.85745612,-73.91596104,1664002,34150.988
DEST315,40.85679895,-73.9142203,1749604,34295.39
DEST316,40.85614179,-73.91247957,1749806,33268.039
DEST317,40.85548462,-73.91073884,1641832,32844.302
DEST318,40.85482745,-73.9089981,1661393,32757.652
DEST319,40.85417029,-73.90725737,1595391,32431.472
DEST320,40.85351312,-73.90551664,1602824,31531.183
DEST321,40.85285595,-73.9037759,1622542,31841.748
DEST322,40.85219879,-73.90203517,1575932,31270.447
DEST323,40.85154162,-73.90029444,1553529,31109.622
DEST324,40.85088445,-73.8985537,1542967,31082.12
DEST325,40.85022729,-73.89681297,1574499,31099.386
DEST326,40.84957012,-73.89507224,1500425,30630.821
DEST327,40.84891295,-73.8933315,1569022,31085.541
DEST328,40.84825579,-73.89159077,1545655,30783.091
DEST329,40.84759862,-73.88985004,1577684,31002.392
DEST330,40.84694145,-73.8881093,1588110,29895.607
DEST331,40.86445871,-73.93961093,1683025,36813.503
DEST332,40.86380155,-73.9378702,1682910,36809.872
DEST333,40.86314438,-73.93612946,1682796,36806.241
DEST334,40.86248721,-73.93438873,1631826,35453.716
DEST335,40.86183005,-73.932648,1702632,34978.01
DEST336,40.86117288,-73.93090726,1677189,34684.064
DEST337,40.86051571,-73.92916653,1703139,34771.84
DEST338,40.85985855,-73.9274258,1712105,34905.338
DEST339,40.85920138,-73.92568506,1684731,34630.368
DEST340,40.85854421,-73.92394433,1619412,34075.566
DEST341,40.85788705,-73.9222036,1612881,33901.377
DEST342,40.85722988,-73.92046286,1609921,33822.45
DEST343,40.85657271,-73.91872213,1702013,35297.341
DEST344,40.85591555,-73.9169814,1615178,33716.983
DEST345,40.85525838,-73.91524066,1718929,33145.242
DEST346,40.85460121,-73.91349993,1685270,32995.64
DEST347,40.85394405,-73.9117592,1644715,32869.923
DEST348,40.85328688,-73.91001846,1632120,32668.276
DEST349,40.85262971,-73.90827773,1575488,32245.075
DEST350,40.85197255,-73.906537,1615978,31529.555
DEST351,40.85131538,-73.90479626,1593727,31488.056
DEST352,40.85065821,-73.90305553,1608834,31494.421
DEST353,40.85000105,-73.9013148,1562346,31127.228
DEST354,40.84934388,-73.89957406,1528306,30892.262
DEST355,40.84868671,-73.89783333,1543815,30792.183
DEST356,40.84802955,-73.8960926,1555590,30853.668
DEST357,40.84737238,-73.89435186,1504637,30550.16
DEST358,40.84671521,-73.89261113,1515075,30647.179
DEST359,40.84605805,-73.8908704,1523507,30825.695
DEST360,40.84540088,-73.88912966,1560078,31003.459
DEST361,40.86291814,-73.94063129,1687662,36960.339
DEST362,40.86226098,-73.93889055,1688068,36973.188
DEST363,40.86160381,-73.93714982,1688473,36986.038
DEST364,40.86094664,-73.93540909,1626001,35269.221
DEST365,40.86028948,-73.93366835,1661885,34730.221
DEST366,40.85963231,-73.93192762,1671443,34543.972
DEST367,40.85897514,-73.93018689,1667796,34560.7
DEST368,40.85831798,-73.92844615,1688235,34719.68
DEST369,40.85766081,-73.92670542,1695226,34320.033
DEST370,40.85700364,-73.92496469,1675683,34050.145
DEST371,40.85634648,-73.92322395,1628614,34320.957
DEST372,40.85568931,-73.92148322,1604678,33682.632
DEST373,40.85503214,-73.91974249,1810964,33384.888
DEST374,40.85437498,-73.91800175,1764488,33288.216
DEST375,40.85371781,-73.91626102,1668354,34057.017
DEST376,40.85306064,-73.91452029,1690433,33150.737
DEST377,40.85240348,-73.91277955,1659170,32655.416
DEST378,40.85174631,-73.91103882,1579010,32285.861
DEST379,40.85108914,-73.90929809,1597801,32308.33
DEST380,40.85043198,-73.90755735,1607333,32222.246
DEST381,40.84977481,-73.90581662,1559683,31197.583
DEST382,40.84911764,-73.90407589,1538349,30995.761
DEST383,40.84846048,-73.90233515,1520063,30833.207
DEST384,40.84780331,-73.90059442,1505169,30700.79
DEST385,40.84714614,-73.89885369,1488710,30526.68
DEST386,40.84648898,-73.89711295,1479457,30407.34
DEST387,40.84583181,-73.89537222,1470891,30368.277
DEST388,40.84517464,-73.89363149,1524897,30712.058
DEST389,40.84451748,-73.89189075,1529428,30871.741
DEST390,40.84386031,-73.89015002,1595323,29652.576
DEST391,40.86137757,-73.94165164,1696409,37237.324
DEST392,40.8607204,-73.93991091,1695829,37218.98
DEST393,40.86006324,-73.93817018,1695250,37200.637
DEST394,40.85940607,-73.93642944,1619146,35052.168
DEST395,40.8587489,-73.93468871,1641500,34555.961
DEST396,40.85809174,-73.93294798,1657841,34386.735
