"destID","destLat","destLong","timeFromSrc","distFromSrc"
"DEST1174",40.81935121,-73.96295873,1624.341,30426.773999999998
"DEST1175",40.81869405,-73.961218,1622.479,30389.537
"DEST1176",40.81803688,-73.95947726,1628.294,30361.645
"DEST1177",40.81737971,-73.95773653,1649.31,30525.104
"DEST1178",40.81672255,-73.9559958,1627.74,30306.73
"DEST1179",40.81606538,-73.95425506,1620.254,30003.696
"DEST118",40.85903979,-73.88444827,1621.95,31549.371
"DEST1180",40.81540821,-73.95251433,1622.901,29832.315
"DEST1181",40.81475105,-73.95077359999999,1775.864,30726.068
"DEST1182",40.81409388,-73.94903286,1636.152,29623.096
"DEST1183",40.81343671,-73.94729213,1592.263,29456.78
"DEST1184",40.81277955,-73.94555140000001,1555.457,29293.194
"DEST1185",40.81212238,-73.94381066,1549.89,29132.433999999997
"DEST1186",40.81146521,-73.94206993,1539.344,29371.592999999997
"DEST1187",40.81080805,-73.94032920000001,1502.546,29208.048
"DEST1188",40.81015088,-73.93858846,1491.805,28641.275
"DEST1189",40.80949371,-73.93684773,1485.234,28577.892999999996
"DEST119",40.85838262,-73.88270754,1590.04,31361.994
"DEST1190",40.80883655,-73.93510699999999,1470.855,28593.248
"DEST1191",40.80817938,-73.93336626,1395.068,28092.888
"DEST1192",40.80752221,-73.93162553,1577.885,28369.868
"DEST1193",40.80686505,-73.9298848,1536.836,28251.132
"DEST1194",40.80620788,-73.92814406,1530.397,28043.904
"DEST1195",40.80555071,-73.92640333,1506.785,28733.86
"DEST1196",40.80489355,-73.92466259999999,1436.669,28272.825
"DEST1197",40.80423638,-73.92292186,1483.035,28579.504
"DEST1198",40.80357921,-73.92118113,1505.475,28727.287
"DEST1199",40.80292205,-73.91944040000001,1522.854,28890.813
"DEST12",40.87417617,-73.90923893,1787.594,36164.238
"DEST120",40.85772545,-73.8809668,1629.926,31895.804
"DEST1200",40.80226488,-73.91769966,1553.02,28075.496
"DEST1201",40.81978214,-73.96920129,1948.29,40398.306000000004
"DEST1202",40.81912498,-73.96746055,1635.009,30671.799
"DEST1203",40.81846781,-73.96571982,1633.689,30640.254
"DEST1204",40.81781064,-73.96397909,1632.368,30608.71
"DEST1205",40.81715348,-73.96223835,1843.869,37059.398
"DEST1206",40.81649631,-73.96049762,1640.603,30457.379
"DEST1207",40.81583914,-73.95875689,1622.006,30105.91
"DEST1208",40.81518198,-73.95701615,1615.531,29914.914
"DEST1209",40.81452481,-73.95527542,1598.702,29812.113999999998
"DEST121",40.87524271,-73.93246843,1731.172,37766.08
"DEST1210",40.81386764,-73.95353469,1636.509,29974.529
"DEST1211",40.81321048,-73.95179395,1656.625,29927.74
"DEST1212",40.81255331,-73.95005322,1569.736,29380.232999999997
"DEST1213",40.81189614,-73.94831249,1572.795,29291.523999999998
"DEST1214",40.81123898,-73.94657175,1532.767,29098.452999999998
"DEST1215",40.81058181,-73.94483102,1530.379,28966.482000000004
"DEST1216",40.80992464,-73.94309029,1545.683,28801.191000000003
"DEST1217",40.80926748,-73.94134955,1508.893,28637.679
"DEST1218",40.80861031,-73.93960882,1472.097,28474.14
"DEST1219",40.80795314,-73.93786809,1453.783,28309.398999999998
"DEST122",40.87458555,-73.9307277,1731.113,37764.215
"DEST1220",40.80729598,-73.93612735,1507.971,28589.667
"DEST1221",40.80663881,-73.93438662,1557.783,28600.959
"DEST1222",40.80598164,-73.93264589,1486.003,28970.224
"DEST1223",40.80532448,-73.93090515,1367.765,27705.935
"DEST1224",40.80466731,-73.92916442,1622.633,28501.67
"DEST1225",40.80401014,-73.92742369,1679.265,28658.982000000004
"DEST1226",40.80335298,-73.92568295,1764.201,28894.917999999998
"DEST1227",40.80269581,-73.92394222,1815.372,29037.057999999997
"DEST1228",40.80203864,-73.92220149,1877.333,29209.173
"DEST1229",40.80138148,-73.92046075,1575.979,29015.217999999997
"DEST123",40.87392838,-73.92898696,1730.579,37747.293
"DEST1230",40.80072431,-73.91872002,1634.874,29178.814
"DEST1231",40.81824157,-73.97022164,1942.545,40351.691
"DEST1232",40.8175844,-73.96848091,1639.487,30778.772
"DEST1233",40.81692724,-73.96674018,1639.457,30778.049
"DEST1234",40.81627007,-73.96499944,1639.427,30777.327
"DEST1235",40.8156129,-73.96325871,1844.472,36865.397000000004
"DEST1236",40.81495574,-73.96151798,1663.151,30946.076
"DEST1237",40.81429857,-73.95977724,1613.616,30189.063
"DEST1238",40.8136414,-73.95803651,1622.023,29943.146
"DEST1239",40.81298424,-73.95629578,1592.331,29698.724
"DEST124",40.87327121,-73.92724623,1674.973,36810.912000000004
"DEST1240",40.81232707,-73.95455504,1602.567,29558.821
"DEST1241",40.8116699,-73.95281431,1571.102,29374.412999999997
"DEST1242",40.81101274,-73.95107358,1549.758,29211.326
"DEST1243",40.81035557,-73.94933284,1544.638,29047.653
"DEST1244",40.8096984,-73.94759211,1511.204,28906.757999999998
"DEST1245",40.80904124,-73.94585138,1501.971,28721.244
"DEST1246",40.80838407,-73.94411064,1517.276,28556.452
"DEST1247",40.8077269,-73.94236991,1480.476,28392.891
"DEST1248",40.80706974,-73.94062918,1452.337,28307.939
"DEST1249",40.80641257,-73.93888844,1439.352,28150.877999999997
"DEST125",40.87261405,-73.9255055,1675.271,36820.367
"DEST1250",40.8057554,-73.93714771,1440.039,28135.407000000003
"DEST1251",40.80509824,-73.93540698,1390.4,27817.139
"DEST1252",40.80444107,-73.93366624,1393.821,27891.966
"DEST1253",40.8037839,-73.93192551,1355.588,27522.049
"DEST1254",40.80312674,-73.93018478,1544.059,32551.117000000002
"DEST1255",40.80246957,-73.92844404,1556.653,32597.554
"DEST1256",40.8018124,-73.92670331,1405.037,27247.267000000003
"DEST1257",40.80115524,-73.92496258,1405.037,27247.267000000003
"DEST1258",40.80049807,-73.92322184,1365.032,27282.099
"DEST1259",40.7998409,-73.92148111,1381.328,27349.389
"DEST126",40.87195688,-73.92376476,1746.117,35355.087999999996
"DEST1260",40.79918374,-73.91974038,1418.348,27629.004
"DEST1261",40.816701,-73.971242,1968.325,40557.316
"DEST1262",40.81604383,-73.96950127,1645.336,30951.677000000003
"DEST1263",40.81538667,-73.96776053,1645.538,30958.053
"DEST1264",40.8147295,-73.9660198,1645.739,30964.43
"DEST1265",40.81407233,-73.96427907,1836.444,36673.606
"DEST1266",40.81341517,-73.96253833,1653.441,30751.855
"DEST1267",40.812758,-73.96079759999999,1622.039,30380.93
"DEST1268",40.81210083,-73.95905687,1621.585,30066.654
"DEST1269",40.81144367,-73.95731613,1601.93,29890.713
"DEST127",40.87129971,-73.92202403,1748.357,35435.295
"DEST1270",40.8107865,-73.9555754,1610.521,29611.516
"DEST1271",40.81012933,-73.95383467,1599.801,29527.627999999997
"DEST1272",40.80947217,-73.95209393,1585.771,29427.98
"DEST1273",40.808815,-73.9503532,1571.467,29308.267000000003
"DEST1274",40.80815783,-73.94861247,1517.94,28936.648999999998
"DEST1275",40.80750067,-73.94687173,1554.736,29100.185
"DEST1276",40.8068435,-73.945131,1480.565,28548.683999999997
"DEST1277",40.80618633,-73.94339027,1453.245,28385.09
"DEST1278",40.80552917,-73.94164953,1466.139,28407.04
"DEST1279",40.804871999999996,-73.9399088,1485.868,28426.395
"DEST128",40.87064255,-73.9202833,1752.159,35496.551
"DEST1280",40.80421483,-73.93816807,1439.811,28142.147
"DEST1281",40.803557670000004,-73.93642733,1458.393,28068.992000000002
"DEST1282",40.8029005,-73.93468659999999,1347.654,27481.561
"DEST1283",40.80224333,-73.93294587,1340.024,27440.736
"DEST1284",40.80158617,-73.93120513,1473.006,28113.537999999997
"DEST1285",40.800929,-73.92946440000001,1362.078,27771.577
"DEST1286",40.80027183,-73.92772367,1368.919,27935.577
"DEST1287",40.79961467,-73.92598293,1300.472,26668.581000000002
"DEST1288",40.7989575,-73.92424220000001,1415.825,28061.908
"DEST1289",40.79830033,-73.92250147,1286.21,26322.451
"DEST129",40.86998538,-73.91854256,1805.521,36046.958
"DEST1290",40.79764317,-73.92076073,1280.044,26158.015
"DEST1291",40.81516043,-73.97226236,1981.044,40726.966
"DEST1292",40.81450326,-73.97052162,1652.89,31190.874
"DEST1293",40.8138461,-73.96878089,1652.53,31179.476000000002
"DEST1294",40.81318893,-73.96704016,1652.17,31168.077
"DEST1295",40.81253176,-73.96529942,1828.475,36483.245
"DEST1296",40.8118746,-73.96355869,1659.991,30897.906000000003
"DEST1297",40.81121743,-73.96181796,1630.459,30572.74
"DEST1298",40.81056026,-73.96007722,1628.554,30218.498
"DEST1299",40.8099031,-73.95833649,1631.044,30304.072999999997
"DEST13",40.873519,-73.9074982,1809.001,36330.736000000004
"DEST130",40.86932821,-73.91680183,1745.242,35468.477
"DEST1300",40.80924593,-73.95659576,1616.978,30191.701
"DEST1301",40.80858876,-73.95485502,1610.226,29600.322
"DEST1302",40.807931599999996,-73.95311429,1567.785,29409.721
"DEST1303",40.80727443,-73.95137356,1566.377,29271.468999999997
"DEST1304",40.80661726,-73.94963282,1564.357,29363.697
"DEST1305",40.8059601,-73.94789209,1574.49,29267.715
"DEST1306",40.80530293,-73.94615136,1519.08,28885.252
"DEST1307",40.80464576,-73.94441062,1482.316,28643.51
"DEST1308",40.8039886,-73.94266989,1480.024,28477.372000000003
"DEST1309",40.80333143,-73.94092916,1506.391,28598.412999999997
"DEST131",40.86867105,-73.91506109999999,1738.411,35297.175
"DEST1310",40.80267426,-73.93918842,1459.475,28309.124
"DEST1311",40.8020171,-73.93744769,1438.404,28133.952999999998
"DEST1312",40.80135993,-73.93570696,1470.793,28150.706000000002
"DEST1313",40.80070276,-73.93396622,1408.795,27749.79
"DEST1314",40.8000456,-73.93222549,1456.991,27948.742000000002
"DEST1315",40.79938843,-73.93048476,1525.789,28272.584
"DEST1316",40.79873126,-73.92874402,1527.652,32052.712000000003
"DEST1317",40.7980741,-73.92700329,1413.191,27387.411
"DEST1318",40.79741693,-73.92526256,1440.823,27525.574
"DEST1319",40.79675976,-73.92352182,1410.882,27408.779
"DEST132",40.86801388,-73.91332036,1756.088,35597.328
"DEST1320",40.796102600000005,-73.92178109,1385.476,27798.04
"DEST1321",40.81361986,-73.97328271,2219.178,41846.523
"DEST1322",40.81296269,-73.97154198,1657.832,31347.368
"DEST1323",40.81230552,-73.96980125,1657.872,31348.648999999998
"DEST1324",40.81164836,-73.96806051,1657.945,31350.952999999998
"DEST1325",40.81099119,-73.96631978,1820.481,36292.278
"DEST1326",40.81033402,-73.96457905,1668.492,31063.993
"DEST1327",40.80967686,-73.96283831,1646.655,30764.403
"DEST1328",40.80901969,-73.96109758,1632.073,30298.615
"DEST1329",40.80836252,-73.95935685,1641.09,30481.603
"DEST133",40.86735671,-73.91157963,1761.99,35692.428
"DEST1330",40.80770536,-73.95761611,1626.361,30379.389
"DEST1331",40.80704819,-73.95587538,1626.738,29753.552000000003
"DEST1332",40.80639102,-73.95413465,1589.598,29588.482999999997
"DEST1333",40.80573386,-73.95239391,1582.678,29423.836
"DEST1334",40.80507669,-73.95065318,1576.619,29260.534
"DEST1335",40.80441952,-73.94891245,1539.822,29096.992000000002
"DEST1336",40.80376236,-73.94717171,1573.032,28934.002999999997
"DEST1337",40.80310519,-73.94543098,1536.233,28770.449
"DEST1338",40.80244802,-73.94369025,1539.972,29047.213
"DEST1339",40.80179086,-73.94194951,1482.083,28500.462000000003
"DEST134",40.86669955,-73.90983890000001,1911.912,35241.205
"DEST1340",40.80113369,-73.94020878,1479.145,28476.462000000003
"DEST1341",40.80047652,-73.93846805,1458.009,28300.635
"DEST1342",40.79981936,-73.93672731,1484.308,28319.79
"DEST1343",40.79916219,-73.93498658,1414.024,27888.465
"DEST1344",40.79850502,-73.93324585,1437.868,28812.183999999997
"DEST1345",40.79784786,-73.93150511,1457.889,28969.726000000002
"DEST1346",40.79719069,-73.92976438,1429.53,28718.23
"DEST1347",40.79653352,-73.92802365,1520.349,31821.417
"DEST1348",40.79587636,-73.92628291,1462.397,27633.439
"DEST1349",40.79521919,-73.92454218,1459.266,28107.926
"DEST135",40.86604238,-73.90809816,1737.871,35200.34
